20-May-2024 16:49:05.535 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
20-May-2024 16:49:05.535 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
20-May-2024 16:49:05.540 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 16:49:05.540 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:12:51.417 INFO [http-nio-8082-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:12:51.418 INFO [http-nio-8082-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:39:05.498 INFO [http-nio-8082-exec-21] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:39:05.499 INFO [http-nio-8082-exec-21] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:41:44.119 INFO [http-nio-8082-exec-33] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:41:44.120 INFO [http-nio-8082-exec-33] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:42:18.578 INFO [http-nio-8082-exec-37] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:42:18.578 INFO [http-nio-8082-exec-37] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:43:16.772 INFO [http-nio-8082-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:43:16.772 INFO [http-nio-8082-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:43:55.772 INFO [http-nio-8082-exec-34] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:43:55.772 INFO [http-nio-8082-exec-34] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:45:13.518 INFO [http-nio-8082-exec-53] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:45:13.518 INFO [http-nio-8082-exec-53] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:45:46.828 INFO [http-nio-8082-exec-58] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:45:46.828 INFO [http-nio-8082-exec-58] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:51:40.583 INFO [http-nio-8082-exec-66] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:51:40.583 INFO [http-nio-8082-exec-66] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:52:22.456 INFO [http-nio-8082-exec-68] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:52:22.456 INFO [http-nio-8082-exec-68] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
20-May-2024 20:53:02.603 INFO [http-nio-8082-exec-81] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
20-May-2024 20:53:02.603 INFO [http-nio-8082-exec-81] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\JavaProjects\BermeCar\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
