08-May-2024 10:38:12.243 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
08-May-2024 10:38:12.243 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
08-May-2024 10:38:12.250 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 10:38:12.250 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 10:41:46.084 INFO [http-nio-8082-exec-17] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 10:41:46.084 INFO [http-nio-8082-exec-17] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 10:59:02.942 INFO [http-nio-8082-exec-23] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 10:59:02.943 INFO [http-nio-8082-exec-23] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:03:48.407 INFO [http-nio-8082-exec-38] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:03:48.407 INFO [http-nio-8082-exec-38] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:04:59.287 INFO [http-nio-8082-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:04:59.287 INFO [http-nio-8082-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:08:51.270 INFO [http-nio-8082-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:08:51.270 INFO [http-nio-8082-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:17:37.419 INFO [http-nio-8082-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:17:37.419 INFO [http-nio-8082-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
